序號,縣市,統一編號,營業人名稱,營業人地址,稽徵機關,開始適用日期,停止適用日期,營業狀況,接受行動支付工具,行業代號,行業代號名稱,行業代號1,行業代號名稱1,行業代號2,行業代號名稱2,行業代號3,行業代號名稱3,資料集日期
000992,臺中市,18371377,創寶眼鏡行,臺中市南屯區三義里黎明路２段４４０號１樓,臺中分局,1080114,,營業中,台灣Pay,474412,眼鏡及其零配件零售,464915,醫療機械設備批發,,,,,20211026
000993,臺中市,18371550,龍品魚丸店,臺中市西　區吉龍里美村路１段６５５號,民權稽徵所,1080312,,營業中,富邦Lucky,561112,便當、自助餐店,,,,,,,20211026
000994,臺北市,18378097,財團法人辜公亮基金會和信治癌中心醫院員工餐廳,臺北市北投區一德里立德路１２５號地下２樓,北投稽徵所,1070615,,營業中,台灣Pay,561112,便當、自助餐店,,,,,,,20211026
000995,臺北市,18386998,早安油條店,臺北市松山區敦化南路１段１０２－５號１樓,松山分局,1091016,,營業中,台灣Pay,561113,麵店、小吃店,,,,,,,20211026
000996,臺北市,18388588,登少姿美容院,臺北市士林區天福里天母東路８巷９１號１樓,士林稽徵所,1090309,,營業中,台灣Pay,962111,美髮院及髮廊,,,,,,,20211026
000997,臺北市,18396996,景赫美容院,臺北市萬華區福星里漢口街２段５５號２樓,萬華稽徵所,1090310,,營業中,台灣Pay,962111,美髮院及髮廊,,,,,,,20211026
000998,臺北市,18410701,世貿企業行,臺北市信義區基隆路１段３５０－３３號１樓,信義分局,1081202,,營業中,台灣Pay,959917,開鎖及配鎖,969018,刻印章,,,,,20211026
000999,臺北市,18411384,日大企業社,臺北市南港區東明里興華路１４號,南港稽徵所,1081029,,營業中,台灣Pay,959917,開鎖及配鎖,969018,刻印章,,,,,20211026
001000,臺北市,18413307,萬王鎖印行,臺北市萬華區富民里桂林路７０號,萬華稽徵所,1081015,,營業中,台灣Pay,959917,開鎖及配鎖,,,,,,,20211026
001001,臺北市,18413952,北投老又新牛肉麵店,臺北市內湖區金龍里成功路４段２０４號,內湖稽徵所,1070806,,營業中,台灣Pay,561113,麵店、小吃店,,,,,,,20211026
001002,臺北市,18413952,北投老又新牛肉麵店,臺北市內湖區金龍里成功路４段２０４號,內湖稽徵所,1081129,,營業中,台灣Pay,561113,麵店、小吃店,,,,,,,20211026
001003,高雄市,18447778,信誠廚具行,高雄市前鎮區復國里三多二路３８１號１樓,前鎮稽徵所,1091127,,營業中,街口支付,474913,家用排油煙機零售,,,,,,,20211026
001004,高雄市,18447778,信誠廚具行,高雄市前鎮區復國里三多二路３８１號１樓,前鎮稽徵所,1091207,,營業中,LINE,474913,家用排油煙機零售,,,,,,,20211026
001005,高雄市,18448312,翔大坊布行,高雄市前金區青山里中正四路１１９號,鹽埕稽徵所,1081112,,營業中,台灣Pay,473999,未分類其他服飾品零售,,,,,,,20211026
001006,新北市,18456446,景富小吃店,新北市三芝區民生街４０號,淡水稽徵所,1100517,,營業中,台灣Pay,561113,麵店、小吃店,,,,,,,20211026
001007,新北市,18457563,瑞元蔘茸藥行,新北市三重區和平街２７號１樓,三重稽徵所,1090827,,營業中,台灣Pay,475111,中藥零售,,,,,,,20211026
001008,新北市,18458958,伯林書局,新北市三重區集美街１７號１樓,三重稽徵所,1081213,,營業中,台灣Pay,476112,書籍、雜誌零售,,,,,,,20211026
001009,臺北市,18989604,新長興號,臺北市萬華區雙和街３１巷１８之２,萬華稽徵所,1081126,,營業中,感應付款-信用卡或金融卡,472913,菸酒零售,472924,稻米零售,474999,未分類其他家用器具及用品零售,,,20211026
001010,臺北市,19032431,新吉安蔘藥行,臺北市中正區汀州路２段２１８號,中正分局,1090410,,營業中,台灣Pay,475111,中藥零售,,,,,,,20211026
001011,苗栗縣,19194982,大酒堡啤酒城,苗栗縣頭份市蟠桃里１鄰中央路及信義路口,竹南稽徵所,1070528,,營業中,台灣Pay,563114,飲酒店,561113,麵店、小吃店,,,,,20211026
001012,苗栗縣,19200788,竹香小吃店,苗栗縣頭份市民族里９鄰中華路９３３號,竹南稽徵所,1070907,,營業中,台灣Pay,561113,麵店、小吃店,,,,,,,20211026
001013,苗栗縣,19203407,藍山園藝,苗栗縣竹南鎮天文里１３鄰龍昇街６１號,竹南稽徵所,1090108,,營業中,台灣Pay,485111,切花、盆栽零售,485112,園藝苗木零售,,,,,20211026
001014,苗栗縣,19206278,標準堂鐘錶行,苗栗縣苗栗市新苗里８鄰中正路８３９號,苗栗分局,1071030,1100329,營業中,台灣Pay,474411,鐘錶及鐘錶零件零售,,,,,,,20211026
001015,苗栗縣,19209985,天然居商行,苗栗縣三義鄉勝興村２７鄰水美３１５－１０２號,苗栗分局,1080918,,營業中,台灣Pay,485218,雕塑品零售,,,,,,,20211026
001016,南投縣,19254242,風櫃梅商行,南投縣集集鎮吳厝里１１鄰東站巷１號,南投分局,1081121,,營業中,台灣Pay,472999,未分類其他食品、飲料及菸草製品零售,472113,醃漬蔬果零售,,,,,20211026
001017,南投縣,19266824,凱律農場,南投縣仁愛鄉南豐村００５鄰中正路８５―５號,埔里稽徵所,1081107,1081114,營業中,台灣Pay,472915,茶葉零售,089512,精製茶,,,,,20211026
001018,臺南市,19349705,中信眼鏡行,臺南市東　區崇德里崇德路５５５號１樓,臺南分局,1081014,,非營業中,台灣Pay,474412,眼鏡及其零配件零售,,,,,,,20211026
